site,year,patch,dst,age,area,water,fsc,stsc,stsl,ssc,psc,msn,fsn
2,2004,1,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,2,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,3,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,4,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,5,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,6,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,7,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
2,2004,8,1,60,0.00694444444444444,0.1,0.46,3.9,3.9,0.003,0,1,1
