time,patch,trk,age,area,water,fsc,stsc,stsl,ssc,psc,msn,fsn
0,A1,2,55,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,A2,2,55,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,A3,2,62,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,A4,1,0,0.043269231,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,A5,1,0,0.043269231,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,B1,2,55,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,B2,2,62,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
0,B3,2,75,0.019230769,0,1.1164,5.8506,5.8506,0.012,0,1.95,0.05
